Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CE,2306900,Jaguaribe,3,2,,5,3,7,3,2,5,4,4,7,14,12,5,6,1,7,10,17,15,13,16,14,15,9,11,3,14
CE,2307007,Jaguaruana,2,2,2,,3,6,3,2,1,,2,5,3,2,1,4,7,1,1,4,14,24,27,12,13,21,16,7,21
CE,2307106,Jardim,3,2,2,1,5,2,2,3,3,6,6,7,4,4,1,5,4,3,2,2,2,2,6,6,11,7,7,2,9
CE,2307205,Jati,,,,,,1,,,,1,2,1,1,2,1,1,,2,2,3,,1,,,1,2,2,,3
CE,2307254,Jijoca de Jericoacoara,,,,,,,1,1,1,,2,1,1,2,,1,1,1,7,,3,4,7,6,11,9,9,7,8
CE,2307304,Juazeiro do Norte,15,31,19,8,21,38,43,34,34,47,53,87,80,68,74,60,106,80,78,96,142,127,156,126,139,148,102,76,143
CE,2307403,Jucás,,,1,,1,1,2,2,1,4,,2,3,1,4,7,1,2,1,1,6,9,7,10,16,13,15,5,11
CE,2307502,Lavras da Mangabeira,2,1,1,1,1,2,3,5,2,5,3,3,4,2,1,4,2,1,8,4,2,3,6,6,5,11,7,3,15
CE,2307601,Limoeiro do Norte,1,,3,1,2,5,11,8,6,8,17,21,11,12,11,5,10,7,15,24,29,32,38,37,35,54,22,16,36
CE,2307635,Madalena,,,1,,1,1,1,3,,3,4,3,2,4,2,1,2,3,,4,2,,2,2,5,8,7,4,3
CE,2307650,Maracanaú,6,20,12,19,24,33,14,31,60,52,46,48,65,58,71,85,97,80,118,106,152,187,168,172,191,308,214,117,146
CE,2307700,Maranguape,10,12,4,12,17,16,12,13,11,6,18,16,23,24,25,27,32,25,29,30,34,43,58,51,58,89,141,58,104
CE,2307809,Marco,1,,,,,,,1,,3,,,,3,1,2,1,2,2,2,3,4,7,9,21,17,17,10,12
CE,2307908,Martinópole,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,1,1
CE,2308005,Massapê,1,,,4,1,1,2,1,3,2,2,1,1,1,2,3,1,5,3,6,6,3,14,8,5,14,14,2,10
CE,2308104,Mauriti,1,6,,1,2,2,4,2,3,4,2,2,6,1,1,1,1,12,9,6,8,7,7,10,11,14,18,8,7
CE,2308203,Meruoca,1,,1,,,1,2,,,1,1,1,,,,,1,3,1,2,,1,2,,1,1,,2,2
CE,2308302,Milagres,1,2,,,2,2,1,,,,4,3,11,4,5,3,4,7,4,4,6,7,5,2,4,7,10,7,1
CE,2308351,Milhã,1,2,1,,,,2,2,,1,1,3,3,1,3,,3,2,5,2,2,3,2,3,4,2,3,6,6
CE,2308377,Miraíma,,,,,1,,,,1,6,,,1,4,1,1,2,,4,3,7,1,,1,,5,4,1,2
CE,2308401,Missão Velha,1,,,2,1,3,1,5,2,2,3,2,2,8,7,4,2,9,6,13,16,24,10,10,18,17,14,12,11
CE,2308500,Mombaça,3,1,3,4,13,10,7,10,14,7,14,24,12,17,7,9,5,14,18,11,16,21,20,12,17,23,7,9,7
CE,2308609,Monsenhor Tabosa,2,,,,1,,2,2,1,,2,,4,4,4,6,2,3,5,3,5,3,1,3,4,7,12,4,15
CE,2308708,Morada Nova,2,3,3,3,3,6,11,12,14,18,13,6,20,21,14,11,6,24,16,20,28,47,42,58,52,46,37,25,27
CE,2308807,Moraújo,,,1,1,,1,2,,,1,2,2,3,,2,,2,,1,3,,1,1,,,1,2,,1
CE,2308906,Morrinhos,,,2,,1,,2,1,,1,3,2,1,1,4,,6,4,1,,,3,3,1,,5,6,,6
CE,2309003,Mucambo,,,,1,1,1,1,3,1,,,,2,1,,,1,1,,,,1,2,1,1,6,3,1,1
CE,2309102,Mulungu,1,,,,,1,,1,,,,2,3,2,2,1,2,3,1,2,3,5,10,7,5,8,10,,3
CE,2309201,Nova Olinda,3,1,,2,,,,1,5,2,2,2,4,2,2,2,3,1,4,8,7,5,7,,4,3,3,2,8
CE,2309300,Nova Russas,,,1,,,1,1,4,4,7,7,9,5,6,7,3,3,9,6,13,7,2,8,6,6,12,9,2,2
CE,2309409,Novo Oriente,,,,3,7,4,3,6,4,1,7,5,3,6,6,2,2,6,5,4,3,10,6,14,4,9,7,5,6
CE,2309458,Ocara,,6,3,1,1,1,,3,4,3,2,2,4,1,4,,1,1,2,6,1,6,9,4,13,13,9,6,3
CE,2309508,Orós,3,1,,1,2,1,3,1,2,3,1,1,3,4,7,2,7,7,4,6,7,7,9,8,14,6,4,6,5
CE,2309607,Pacajus,2,2,,2,3,2,4,2,10,6,4,15,8,7,8,14,9,22,18,10,43,31,57,45,55,105,79,28,67
CE,2309706,Pacatuba,1,4,,3,4,4,2,6,9,4,8,18,14,9,12,24,18,20,12,14,20,40,42,48,48,60,65,23,49
CE,2309805,Pacoti,1,,1,1,1,1,1,1,1,,2,,2,1,1,1,2,3,3,6,1,6,6,4,10,9,16,8,4
CE,2309904,Pacujá,,,,2,,,,,,2,1,,,,,,,,1,,,,,,3,1,,2,
CE,2310001,Palhano,,1,,,1,,,,,,1,,,1,1,,,,1,1,,1,,2,,2,3,1,4
CE,2310100,Palmácia,3,1,,,2,,2,,1,1,1,1,1,3,1,2,3,1,7,1,1,4,,2,2,7,13,6,6
CE,2310209,Paracuru,,2,5,3,,,3,,3,,3,4,1,3,2,6,3,3,4,5,10,12,10,5,6,19,15,9,10
CE,2310258,Paraipaba,,3,3,2,2,2,1,2,1,4,2,4,4,1,2,5,5,1,8,11,11,10,10,23,26,31,16,6,20
CE,2310298,Cococi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,2310308,Parambu,1,1,6,1,2,3,1,4,3,1,3,11,4,,1,2,9,12,11,5,2,3,17,7,12,14,12,5,3
CE,2310407,Paramoti,2,,,,,,1,,1,,,1,1,1,2,6,1,1,4,,1,,4,6,1,,3,4,10
CE,2310506,Pedra Branca,,1,3,3,,8,9,6,7,4,9,3,8,8,5,2,10,18,15,14,17,26,17,28,24,19,20,8,6
CE,2310605,Penaforte,,,,,,,,2,,,,1,1,,1,1,,3,2,1,2,3,3,3,2,,,3,1
CE,2310704,Pentecoste,1,,1,2,7,4,2,4,2,3,9,11,5,9,10,10,6,8,6,18,20,28,14,8,15,12,23,,19
CE,2310803,Pereiro,,,1,1,3,,,,,,,1,,,1,,1,3,1,,2,1,5,2,2,3,1,1,4
CE,2310852,Pindoretama,2,2,,3,2,,,3,1,,2,3,1,3,1,6,2,2,2,8,3,8,8,7,7,8,6,3,11
CE,2310902,Piquet Carneiro,,1,,2,,1,,1,2,1,,2,1,1,2,4,1,2,2,3,5,3,3,3,4,7,3,2,1
CE,2310951,Pires Ferreira,,,,,,,,,1,,,,,1,2,,1,,,1,1,,,,,,2,,1
CE,2311009,Poranga,,,,,,,3,1,1,1,,1,,1,,,1,2,1,,2,2,1,6,2,2,5,2,
CE,2311108,Porteiras,,,1,,1,1,1,,,2,1,1,1,3,1,,,3,5,2,4,3,1,2,3,2,3,7,3
CE,2311207,Potengi,,1,,,,,,,,5,1,1,,1,1,3,3,2,,3,1,1,2,3,6,5,2,3,
CE,2311231,Potiretama,,1,2,,,,1,2,,,,1,,1,1,1,1,,,1,,,1,,3,1,,2,4
CE,2311264,Quiterianópolis,,1,1,,,,,1,1,1,2,1,5,,1,1,4,3,5,2,1,4,2,8,3,5,11,6,6
CE,2311306,Quixadá,3,8,13,12,10,10,21,20,13,19,20,12,14,20,18,14,16,32,34,36,38,59,50,50,50,45,62,25,42
CE,2311355,Quixelô,,1,2,1,,1,2,1,2,2,1,4,,2,2,1,7,3,,4,4,3,5,4,2,4,,3,1
CE,2311405,Quixeramobim,,2,,,2,3,8,5,9,5,11,9,13,22,24,14,22,11,31,21,16,26,23,25,29,33,40,16,26
CE,2311504,Quixeré,1,1,,,,1,,5,,4,1,2,3,3,3,1,5,3,7,15,12,28,21,24,19,19,12,12,14
CE,2311603,Redenção,1,1,2,1,1,2,5,3,1,9,2,5,3,8,5,9,10,6,10,6,7,16,23,24,24,23,20,6,7
CE,2311702,Reriutaba,,,,1,,,2,2,1,1,1,,2,1,,1,,,2,1,1,2,2,,1,4,3,2,5
CE,2311801,Russas,2,6,2,1,3,8,1,7,2,5,6,5,5,10,4,5,8,11,13,23,32,54,70,56,79,54,38,17,33
CE,2311900,Saboeiro,,,,,,3,2,1,2,3,2,1,1,4,1,3,4,1,4,6,4,7,4,3,2,6,10,6,10
CE,2311959,Salitre,,1,,,2,,,1,4,2,1,2,1,1,3,1,3,,2,3,3,4,2,4,3,8,5,3,5
CE,2312007,Santana do Acaraú,,,,3,1,,,1,1,1,4,4,2,2,1,1,4,4,5,4,4,3,6,3,4,9,17,11,14
CE,2312106,Santana do Cariri,2,,2,,1,,,,4,2,3,2,1,2,,2,4,1,3,2,3,7,4,4,3,2,3,2,1
CE,2312205,Santa Quitéria,,1,,3,2,1,1,3,3,2,,4,3,3,3,4,5,6,4,6,15,8,16,7,11,28,32,18,16
CE,2312304,São Benedito,,5,3,2,3,3,4,2,6,5,7,3,3,4,10,6,9,8,7,7,15,9,15,11,13,13,15,13,14
CE,2312403,São Gonçalo do Amarante,1,2,4,4,2,1,,7,4,7,6,1,9,8,10,8,5,12,11,10,18,24,23,27,14,34,49,25,25
CE,2312502,São João do Jaguaribe,4,3,1,1,1,1,3,5,,7,4,7,1,5,1,3,3,3,5,3,5,10,5,10,18,7,2,8,18
CE,2312601,São Luís do Curu,,1,,1,1,2,,2,,1,1,2,,1,1,3,2,,2,11,3,,5,5,6,9,9,2,9
CE,2312700,Senador Pompeu,3,1,2,6,4,3,,2,7,3,10,7,9,10,9,6,5,13,13,6,20,20,16,24,23,26,19,6,4
CE,2312809,Senador Sá,,,,1,1,,2,,,,,,1,1,1,,,1,1,1,1,,,,,5,2,2,1
CE,2312908,Sobral,1,4,2,13,21,22,34,33,32,20,44,31,24,44,40,27,28,34,33,43,59,87,107,110,68,120,115,61,136
CE,2313005,Solonópole,3,1,,2,1,,,2,1,4,3,1,1,5,4,4,1,,3,6,3,6,8,4,4,5,8,5,5
CE,2313104,Tabuleiro do Norte,4,1,1,1,1,8,5,2,1,2,9,3,4,3,11,3,6,11,17,16,19,31,17,28,18,33,14,10,26
CE,2313203,Tamboril,,,2,2,2,1,,2,2,5,2,3,6,6,5,4,4,5,6,4,5,1,3,3,8,9,6,4,2
CE,2313252,Tarrafas,,,,,,,,1,2,,1,1,,1,,,1,,,,1,1,1,,2,,,2,
CE,2313302,Tauá,2,1,3,2,5,3,6,8,7,13,7,5,10,4,8,8,5,14,19,9,11,9,12,18,23,17,27,5,11
CE,2313351,Tejuçuoca,,,,,1,,1,,,1,1,2,2,2,3,,4,6,1,3,,4,6,,6,5,5,2,4
CE,2313401,Tianguá,,2,,,1,1,3,2,3,4,5,6,5,6,12,14,12,13,17,11,13,19,24,17,26,10,29,12,20
CE,2313500,Trairi,,,,1,,3,2,4,3,6,6,3,3,12,7,11,7,3,8,8,11,8,17,15,21,26,37,30,19
CE,2313559,Tururu,,,,,1,,3,,1,,,2,1,1,1,1,,4,2,8,6,7,2,,3,4,5,4,5
CE,2313609,Ubajara,,1,,,,3,2,2,1,2,2,2,3,4,3,2,4,7,5,8,4,12,7,7,4,5,7,3,11
CE,2313708,Umari,,1,,,,,1,,,,,,1,,,2,,3,,1,1,1,1,1,,1,,,
CE,2313757,Umirim,,,,,1,1,5,1,1,,1,2,4,1,1,2,2,,3,4,3,4,8,6,6,5,5,2,4
CE,2313807,Uruburetama,1,4,3,,,1,,4,2,2,2,2,1,3,5,3,1,7,6,6,4,8,4,3,9,5,5,4,5
CE,2313906,Uruoca,,,,,,,,,,2,2,,1,2,2,2,1,,2,1,3,,4,3,1,2,4,4,1
CE,2313955,Varjota,1,,,,3,3,,2,,1,1,3,3,1,2,4,6,6,3,10,1,5,3,2,5,16,23,6,10
CE,2314003,Várzea Alegre,,,,1,,5,3,1,1,5,3,4,3,4,2,2,3,1,5,4,1,3,6,3,11,2,11,2,8
CE,2314102,Viçosa do Ceará,3,5,1,2,3,,5,1,1,5,2,,2,4,7,6,6,12,8,6,7,8,7,6,11,9,18,5,7
CE,2399919,Entre Rios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,2399929,Mecejana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,2399939,Vertentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF,5300108,Brasília,465,604,610,687,698,668,720,723,770,773,744,742,696,657,660,711,812,882,786,902,954,837,843,742,760,610,530,480,453
ES,3200102,Afonso Cláudio,11,13,10,22,14,11,18,7,11,11,10,16,10,8,11,14,6,6,14,3,4,3,,5,6,5,7,4,8
ES,3200136,Águia Branca,,1,2,,,1,,2,4,,,3,2,,1,1,1,3,1,2,3,3,1,2,3,1,2,4,3
ES,3200169,Água Doce do Norte,3,,,,,1,,2,4,1,3,2,,3,5,4,4,2,4,4,7,1,1,3,4,5,5,2,
ES,3200201,Alegre,4,3,7,6,6,3,6,8,6,4,2,2,7,2,2,4,2,6,3,2,2,4,4,5,4,1,,7,4
ES,3200300,Alfredo Chaves,3,,3,1,1,,2,4,3,3,1,1,2,2,1,2,1,2,1,1,1,,2,1,2,,,2,
ES,3200359,Alto Rio Novo,,3,1,4,1,1,5,4,2,1,,1,4,3,3,1,3,4,3,2,,4,4,2,3,3,,1,1
ES,3200409,Anchieta,2,3,2,2,1,2,2,2,4,3,3,2,3,5,7,5,6,4,6,2,3,4,7,8,8,6,8,3,10
ES,3200508,Apiacá,,2,,1,,,,,,,1,1,,1,,1,,,,1,,2,,,4,1,,1,1
ES,3200607,Aracruz,9,12,14,19,15,16,12,20,17,14,15,29,22,23,22,26,39,32,38,38,29,37,33,33,32,42,26,26,22
ES,3200706,Atilio Vivacqua,,1,1,,1,,2,1,,1,4,,,4,1,2,3,1,3,2,1,1,1,1,1,2,1,2,2
ES,3200805,Baixo Guandu,7,11,9,3,4,5,6,7,11,8,6,6,5,9,15,12,8,11,15,20,20,25,14,20,15,14,5,7,22
ES,3200904,Barra de São Francisco,9,9,11,1,5,5,3,4,9,9,10,10,11,12,32,20,29,25,11,22,25,22,18,3,12,10,16,9,6
ES,3201001,Boa Esperança,3,1,4,1,2,1,2,2,,2,3,2,2,5,1,8,6,4,6,7,7,6,,4,9,9,2,6,7
ES,3201100,Bom Jesus do Norte,1,2,1,,1,,,,,1,1,2,2,,,,2,1,1,1,,3,,2,3,1,2,1,1
ES,3201159,Brejetuba,,,,,,1,3,4,4,5,3,3,2,6,1,8,6,9,3,4,7,3,8,4,4,1,5,6,7
ES,3201209,Cachoeiro de Itapemirim,27,41,32,33,39,31,60,47,54,43,60,43,25,37,48,43,49,37,45,48,47,49,62,49,54,44,53,35,40
ES,3201308,Cariacica,130,220,214,187,177,218,269,218,225,204,272,316,330,306,349,338,339,318,297,252,310,218,219,199,159,211,153,170,164
ES,3201407,Castelo,5,3,2,3,3,6,8,6,3,5,2,3,3,4,6,7,8,4,7,4,3,6,4,6,4,4,5,3,2
ES,3201506,Colatina,32,36,26,25,27,24,45,25,25,33,33,28,26,23,30,31,42,49,49,43,36,39,37,26,35,33,21,23,18
ES,3201605,Conceição da Barra,6,4,5,5,11,5,6,12,24,11,9,18,21,12,8,13,9,18,23,16,20,16,17,12,19,15,11,16,24
ES,3201704,Conceição do Castelo,2,5,3,3,2,11,9,1,3,3,1,4,3,3,3,4,2,5,,3,,2,1,3,1,2,1,1,5
ES,3201803,Divino de São Lourenço,1,1,1,,,,,1,1,,1,,,1,,,,,1,,1,1,,2,,,,,
ES,3201902,Domingos Martins,7,4,5,6,5,6,3,7,10,13,12,7,6,6,5,7,5,5,5,3,1,3,1,4,2,2,3,5,2
ES,3202009,Dores do Rio Preto,,,,1,,,1,,,1,,,,,,,,2,,,,4,1,2,,1,1,1,1
ES,3202108,Ecoporanga,5,11,5,5,,3,2,6,1,4,3,9,6,8,8,13,19,11,14,11,8,9,7,10,7,3,4,8,11
ES,3202207,Fundão,3,2,,3,3,3,4,2,4,5,3,5,6,10,7,8,6,7,13,6,7,13,11,9,11,10,11,3,6
ES,3202256,Governador Lindenberg,,,,,,,,,,,1,2,,1,1,2,,1,2,2,,,4,5,1,3,,1,1
ES,3202306,Guaçuí,4,3,5,4,8,7,4,5,1,8,1,7,4,,1,10,3,2,5,7,2,4,5,3,3,1,2,3,5
ES,3202405,Guarapari,14,23,26,20,24,30,42,53,45,44,49,39,51,44,39,57,72,65,65,59,44,45,51,38,39,41,43,22,33
ES,3202454,Ibatiba,5,6,8,11,6,4,8,9,5,6,5,11,6,8,5,6,10,10,9,11,4,4,7,10,7,10,8,6,14
ES,3202504,Ibiraçu,3,2,2,,2,,,,2,,1,1,2,3,4,2,1,4,,5,4,1,3,1,3,7,3,1,1
ES,3202553,Ibitirama,1,4,1,1,1,2,1,1,2,2,1,3,2,,1,1,,2,1,4,,1,3,1,1,,1,1,2
ES,3202603,Iconha,1,,,1,1,,,1,2,1,,2,,,,2,3,2,1,1,2,1,,5,,,2,,4
ES,3202652,Irupi,,4,2,4,2,3,1,1,1,1,,2,5,,6,3,3,5,4,2,4,,5,1,3,1,4,,2
ES,3202702,Itaguaçu,8,4,3,2,4,3,1,2,4,1,3,4,3,6,4,4,2,4,4,4,3,2,1,2,1,4,1,1,1
ES,3202801,Itapemirim,10,7,6,16,13,4,1,13,4,8,13,6,5,5,11,10,5,7,10,5,9,5,8,3,9,13,7,6,5
ES,3202900,Itarana,1,,3,1,2,1,1,,1,1,2,,2,1,1,2,1,2,3,2,4,1,3,2,2,2,,4,2
ES,3203007,Iúna,8,4,5,13,9,9,8,8,5,6,5,8,5,7,5,3,8,6,8,8,6,8,6,3,1,7,5,3,3
ES,3203056,Jaguaré,3,5,1,4,10,6,6,6,5,17,16,8,3,18,12,17,11,11,19,14,8,15,17,25,19,27,14,20,25
ES,3203106,Jerônimo Monteiro,1,2,,,1,,1,,,1,,1,1,,1,,1,,,,1,1,1,,4,2,2,1,
ES,3203130,João Neiva,3,4,1,1,1,,2,2,,3,,4,2,3,2,5,3,9,7,4,8,2,4,3,5,4,3,6,
ES,3203163,Laranja da Terra,1,1,2,1,,1,1,2,,1,3,,2,1,,3,3,2,,1,1,2,3,,2,1,1,,
ES,3203205,Linhares,54,32,44,29,33,54,51,41,45,60,64,60,67,82,96,115,94,120,79,72,63,93,80,71,50,83,66,64,77
ES,3203304,Mantenópolis,,2,2,1,4,3,3,1,2,2,,1,7,2,2,2,7,8,6,7,6,3,3,4,6,7,7,2,7
ES,3203320,Marataízes,,,,,,3,10,1,6,3,6,8,3,6,7,8,4,12,13,7,7,2,6,8,6,7,3,10,5
ES,3203346,Marechal Floriano,,3,4,1,2,8,5,3,2,5,2,2,2,5,4,2,5,5,5,,2,1,1,5,,1,1,,3
ES,3203353,Marilândia,,3,1,,1,,1,1,,2,,,,2,1,1,,1,1,,,1,2,,2,2,3,2,2
ES,3203403,Mimoso do Sul,2,2,2,3,2,2,3,2,3,2,2,7,3,5,2,3,4,4,5,2,1,2,2,2,3,7,4,2,3
ES,3203502,Montanha,3,3,2,,4,4,6,4,1,1,4,1,6,3,7,2,4,4,3,2,10,7,4,2,4,5,,5,3
ES,3203601,Mucurici,,1,1,1,1,,,,1,,1,1,2,2,2,2,1,2,2,2,1,3,1,1,1,2,,,1
ES,3203700,Muniz Freire,6,4,8,2,3,9,4,2,6,4,1,5,5,6,5,5,7,3,5,3,1,2,1,1,2,4,4,3,1
ES,3203809,Muqui,2,,2,,,,1,2,3,1,2,2,1,2,2,,2,1,2,,,1,1,1,,,1,2,1
ES,3203908,Nova Venécia,3,7,5,5,6,2,4,2,6,3,7,11,6,7,7,9,12,11,10,4,13,9,13,19,17,21,7,17,12
ES,3204005,Pancas,6,12,7,6,9,8,16,11,11,9,12,6,8,6,3,2,11,16,5,9,4,8,9,7,5,6,6,7,4
ES,3204054,Pedro Canário,13,7,9,17,19,10,21,7,7,13,17,21,13,17,15,11,9,23,26,21,9,10,12,12,7,8,9,12,19
ES,3204104,Pinheiros,1,2,5,2,8,4,8,12,14,3,2,7,6,6,4,7,12,11,8,26,22,17,14,24,12,10,18,12,19
ES,3204203,Piúma,,1,,,1,,1,2,2,1,3,3,5,4,1,3,5,11,4,6,11,6,3,9,9,5,4,5,4
ES,3204252,Ponto Belo,,,,,,,1,,,1,1,,,,2,1,2,,1,2,2,5,,3,1,,1,,1
ES,3204302,Presidente Kennedy,1,2,1,4,2,,3,8,1,1,2,2,2,5,3,1,,4,3,2,2,1,2,2,4,6,2,1,3
ES,3204351,Rio Bananal,4,1,3,3,,1,,,1,,3,2,4,2,2,6,2,3,1,1,4,2,5,3,5,5,4,1,
ES,3204401,Rio Novo do Sul,2,,,1,1,,1,2,,1,2,2,1,3,1,,1,1,2,,3,3,,2,2,,3,1,2
ES,3204500,Santa Leopoldina,1,7,5,3,4,2,4,4,1,4,11,3,,1,1,2,4,,2,1,3,3,1,4,2,4,3,,1
ES,3204559,Santa Maria de Jetibá,3,7,6,8,4,3,2,2,4,4,3,2,2,5,2,6,6,5,4,4,3,3,4,4,6,4,4,2,2
ES,3204609,Santa Teresa,3,5,4,6,4,4,4,3,1,5,,2,4,,8,5,5,3,4,4,2,3,5,6,2,2,1,2,4
ES,3204658,São Domingos do Norte,,4,3,1,,,,,4,1,3,1,3,2,3,4,,4,1,5,2,5,1,5,,2,1,1,1
ES,3204708,São Gabriel da Palha,7,6,4,3,4,3,4,1,3,5,2,8,5,6,7,12,6,8,9,2,7,11,15,16,8,15,7,7,10
ES,3204807,São José do Calçado,,4,,1,3,,1,1,2,1,1,,3,4,2,4,4,1,1,2,3,,,,2,1,2,,
ES,3204906,São Mateus,21,26,18,30,26,18,28,24,24,18,25,22,19,36,36,49,63,76,67,50,59,56,58,65,60,67,59,32,49
ES,3204955,São Roque do Canaã,,,,,,,,1,,1,1,1,1,2,1,3,1,,2,1,4,,1,3,,2,2,3,1
ES,3205002,Serra,139,145,154,153,225,297,375,347,312,331,404,347,384,317,344,366,427,387,363,376,354,369,342,315,274,320,212,175,208
ES,3205010,Sooretama,,,,,,6,,1,3,6,5,11,9,10,9,10,19,22,15,24,24,14,19,16,16,23,14,14,13
ES,3205036,Vargem Alta,3,1,4,2,2,,2,7,4,2,5,5,1,2,5,3,6,3,7,1,3,5,3,5,3,8,3,2,4
ES,3205069,Venda Nova do Imigrante,5,1,,1,2,4,2,2,3,3,1,7,3,2,2,1,4,3,1,,1,1,3,2,4,4,3,4,3
ES,3205101,Viana,16,26,25,22,24,40,47,32,43,20,33,35,43,45,52,54,41,50,35,37,33,40,21,28,17,38,12,22,25
ES,3205150,Vila Pavão,,,,1,1,1,,1,1,,,1,1,4,,2,2,2,2,,2,1,,4,3,1,1,,5
ES,3205176,Vila Valério,,,,,,1,1,2,1,4,1,3,4,4,3,6,7,5,6,7,4,9,11,10,8,13,8,5,11
ES,3205200,Vila Velha,80,125,182,192,179,238,249,226,199,218,215,260,219,215,249,275,246,293,226,225,222,217,239,183,161,182,164,123,156
ES,3205309,Vitória,131,206,238,250,223,277,287,293,231,252,240,169,187,194,210,186,186,170,160,140,131,134,153,89,62,107,87,79,87
ES,3299919,Riacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,3299929,Ponte do Itabapoana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO,5200050,Abadia de Goiás,,,,,,,,,2,1,1,1,1,3,1,1,4,1,2,2,1,6,12,6,3,4,6,9,6
GO,5200100,Abadiânia,1,1,1,2,,2,2,1,1,4,4,1,1,1,,,1,1,1,2,5,11,10,7,7,8,7,8,4
GO,5200134,Acreúna,1,1,3,,,3,2,3,2,2,6,5,2,,2,1,,1,3,1,3,7,11,12,7,3,11,7,6
GO,5200159,Adelândia,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,2,,3
GO,5200175,Água Fria de Goiás,1,1,1,1,1,,,1,,,,2,1,,1,,2,2,1,1,,2,3,1,,1,1,,1
GO,5200209,Água Limpa,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,
GO,5200258,Águas Lindas de Goiás,,,,,,14,8,32,27,38,39,42,25,73,57,33,89,89,108,109,115,107,94,101,87,82,66,50,49
GO,5200308,Alexânia,8,1,1,2,3,4,1,1,5,3,5,13,12,2,5,2,17,9,17,19,13,20,16,26,17,17,14,14,4
GO,5200506,Aloândia,,,1,,1,,,,,1,,1,,,,,1,,,,,2,,,,,,,1
GO,5200555,Alto Horizonte,,,,,,,,,,2,1,,,,2,,,,1,,1,2,2,2,2,2,3,1,3
GO,5200605,Alto Paraíso de Goiás,,3,,2,2,2,3,1,1,1,,3,3,1,,3,,1,,1,,1,1,2,1,1,2,3,3
GO,5200803,Alvorada do Norte,1,,,,,2,1,2,,2,3,2,3,1,1,1,1,2,8,2,2,2,4,6,9,7,5,3,2
GO,5200829,Amaralina,,,,,,,,,,1,1,,,,1,2,,,,,,,,,1,,1,,1
GO,5200852,Americano do Brasil,,,,1,,,,,,1,1,,,,,2,,,,,1,1,1,,3,2,4,4,1
GO,5200902,Amorinópolis,,,,,1,,,1,1,1,,1,1,,1,,,1,,,2,,,,,,,1,
GO,5201108,Anápolis,53,41,39,34,47,45,30,42,60,54,46,57,79,79,66,73,80,93,90,81,137,186,167,150,206,190,152,146,87
GO,5201207,Anhanguera,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
GO,5201306,Anicuns,,,2,1,1,3,1,,2,,2,3,,3,1,2,3,3,,4,3,4,5,2,1,2,11,2,4
GO,5201405,Aparecida de Goiânia,34,29,40,22,29,20,26,41,77,105,132,146,184,162,202,171,189,220,199,256,332,316,342,308,326,326,277,258,231
GO,5201454,Aparecida do Rio Doce,,,,,,,,,,,,,,1,,,1,,,,,,,,1,2,3,,
GO,5201504,Aporé,,1,2,,,,,,,2,1,,1,1,,1,1,1,,1,2,,1,3,1,,,,
GO,5201603,Araçu,,,,,1,1,,,,,1,,,,,1,,,,,,2,,,,1,3,,
GO,5201702,Aragarças,1,3,3,1,2,5,,2,,2,2,2,,4,2,5,6,8,5,7,6,9,9,8,5,13,8,4,7
GO,5201801,Aragoiânia,1,1,3,,2,,1,1,2,2,,2,1,4,,,,6,1,2,3,3,4,4,2,9,3,6,3
GO,5202155,Araguapaz,2,2,2,,,,2,2,,2,1,4,1,2,2,,,,3,,,,3,1,1,1,4,7,
GO,5202353,Arenópolis,,1,,,,,1,2,,,,1,,1,1,,1,2,,,3,,,,1,,,1,2
GO,5202502,Aruanã,,2,,,1,1,,1,1,3,,,3,1,1,,3,,,1,3,3,4,6,3,4,2,3,5
GO,5202601,Aurilândia,,2,,,,,2,1,,1,,,3,3,,1,,2,,,2,1,,,,2,,1,
GO,5202809,Avelinópolis,,,,,1,,,,,1,1,,,1,,,,,,1,,,,,1,,1,,
GO,5203104,Baliza,,1,1,1,1,,,,1,1,1,1,,1,,,1,,,,,1,1,,1,,1,2,2
GO,5203203,Barro Alto,1,,2,,,,,,,1,1,,,1,1,2,6,3,2,2,2,1,2,,2,1,3,2,
GO,5203302,Bela Vista de Goiás,4,,,4,,,3,4,6,6,1,3,5,1,1,6,7,4,7,1,2,7,6,10,7,13,9,17,14
GO,5203401,Bom Jardim de Goiás,1,1,1,,,1,,3,,2,5,1,1,1,2,3,3,3,2,2,1,2,1,5,7,1,1,3,1
GO,5203500,Bom Jesus de Goiás,4,1,1,2,,1,1,1,1,3,3,,5,2,1,2,3,3,1,8,9,6,6,7,22,16,18,5,15
GO,5203559,Bonfinópolis,,,,,,,,1,,1,1,1,4,2,4,,,1,1,4,6,3,5,3,1,2,3,4,7
